action_id	action_number	action_params	session_id	subsession_id	action_type	creation_time	parent_display_id	child_display_id	session_id.1	user_id	project_id	curr_display_id	size	solution
55		"{""field"":""ip_dst"",""term"":""82.108.10.174"",""condition"":8}"	7		filter	2016-08-22 15:07:44	57	62	7	9	1			"{""solution"":""icmp scan -> 139/445 smb scan"",""project_id"":1,""session_id"":7,""feedback"":"""",""user_id"":9}"
56		"{""field"": ""tcp_stream"", ""term"": ""43"", ""condition"": 8}"	7		filter	2016-08-22 15:09:48	55	63	7	9	1			"{""solution"":""icmp scan -> 139/445 smb scan"",""project_id"":1,""session_id"":7,""feedback"":"""",""user_id"":9}"
57		"{""field"":""ip_dst"",""term"":""82.108.10.174"",""condition"":8}"	7		filter	2016-08-22 15:11:10	55	64	7	9	1			"{""solution"":""icmp scan -> 139/445 smb scan"",""project_id"":1,""session_id"":7,""feedback"":"""",""user_id"":9}"
83		"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	9		group	2016-08-22 16:43:59	91	92	9	9	2			"{""solution"":""SOLVED nrpc exploitnc&c streamnftp connect backnfile upload to hacked machine"",""project_id"":2,""session_id"":9,""feedback"":"""",""user_id"":9}"
84		"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":1}"	9		group	2016-08-22 16:44:01	92	93	9	9	2			"{""solution"":""SOLVED nrpc exploitnc&c streamnftp connect backnfile upload to hacked machine"",""project_id"":2,""session_id"":9,""feedback"":"""",""user_id"":9}"
85		"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	9		group	2016-08-22 16:44:29	91	94	9	9	2			"{""solution"":""SOLVED nrpc exploitnc&c streamnftp connect backnfile upload to hacked machine"",""project_id"":2,""session_id"":9,""feedback"":"""",""user_id"":9}"
86		"{""field"":""tcp_stream"",""aggregations"":[{""field"":""ip_src"",""type"":""min""},{""field"":""ip_dst"",""type"":""max""},{""field"":""length"",""type"":""sum""}],""groupPriority"":0}"	9		group	2016-08-22 16:45:21	91	95	9	9	2			"{""solution"":""SOLVED nrpc exploitnc&c streamnftp connect backnfile upload to hacked machine"",""project_id"":2,""session_id"":9,""feedback"":"""",""user_id"":9}"
87		"{""field"":""highest_layer"",""term"":""TCP"",""condition"":512}"	9		filter	2016-08-22 16:45:47	95	96	9	9	2			"{""solution"":""SOLVED nrpc exploitnc&c streamnftp connect backnfile upload to hacked machine"",""project_id"":2,""session_id"":9,""feedback"":"""",""user_id"":9}"
92		"{""field"":""highest_layer"",""aggregations"":[{""field"":""tcp_srcport"",""type"":""min""},{""field"":""info_line"",""type"":""max""}],""groupPriority"":0}"	11		group	2016-08-23 17:19:43	101	103	11	3	1			"{""solution"":""192.168.1.122 scans the network, probably from an automated tool. Pings ~3500 ips and 180 answer. Then he scans port for 100+, probably being the computers than answered. From the arp we know that the session is probably recorded on 192,168.1.122.nnHave a great day!"",""project_id"":1,""session_id"":11,""feedback"":"""",""user_id"":3}"
94		"{""field"":""ip_src"",""aggregations"":[{""field"":""tcp_srcport"",""type"":""min""},{""field"":""info_line"",""type"":""max""}],""groupPriority"":1}"	11		group	2016-08-23 17:20:20	103	105	11	3	1			"{""solution"":""192.168.1.122 scans the network, probably from an automated tool. Pings ~3500 ips and 180 answer. Then he scans port for 100+, probably being the computers than answered. From the arp we know that the session is probably recorded on 192,168.1.122.nnHave a great day!"",""project_id"":1,""session_id"":11,""feedback"":"""",""user_id"":3}"
95		"{""field"":""ip_dst"",""aggregations"":[{""field"":""tcp_srcport"",""type"":""min""},{""field"":""info_line"",""type"":""max""}],""groupPriority"":2}"	11		group	2016-08-23 17:21:57	105	106	11	3	1			"{""solution"":""192.168.1.122 scans the network, probably from an automated tool. Pings ~3500 ips and 180 answer. Then he scans port for 100+, probably being the computers than answered. From the arp we know that the session is probably recorded on 192,168.1.122.nnHave a great day!"",""project_id"":1,""session_id"":11,""feedback"":"""",""user_id"":3}"
96		"{""field"":""ip_dst"",""direction"":""asc""}"	11		sort	2016-08-23 17:22:00	105	107	11	3	1			"{""solution"":""192.168.1.122 scans the network, probably from an automated tool. Pings ~3500 ips and 180 answer. Then he scans port for 100+, probably being the computers than answered. From the arp we know that the session is probably recorded on 192,168.1.122.nnHave a great day!"",""project_id"":1,""session_id"":11,""feedback"":"""",""user_id"":3}"
97		"{""field"":""ip_dst"",""aggregations"":[{""field"":""tcp_srcport"",""type"":""min""},{""field"":""info_line"",""type"":""max""}],""groupPriority"":2}"	11		group	2016-08-23 17:26:23	103	108	11	3	1			"{""solution"":""192.168.1.122 scans the network, probably from an automated tool. Pings ~3500 ips and 180 answer. Then he scans port for 100+, probably being the computers than answered. From the arp we know that the session is probably recorded on 192,168.1.122.nnHave a great day!"",""project_id"":1,""session_id"":11,""feedback"":"""",""user_id"":3}"
98		"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	12		group	2016-08-23 17:27:49	109	110	12	5	2			"{""solution"":""Ip that starts with 98 exploited a buffer overflow in SMB server at IP address 192"",""project_id"":2,""session_id"":12,""feedback"":"""",""user_id"":5}"
99		"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":1}"	12		group	2016-08-23 17:28:03	110	111	12	5	2			"{""solution"":""Ip that starts with 98 exploited a buffer overflow in SMB server at IP address 192"",""project_id"":2,""session_id"":12,""feedback"":"""",""user_id"":5}"
100		"{""field"":""tcp_stream"",""aggregations"":[{""field"":""length"",""type"":""sum""}],""groupPriority"":0}"	12		group	2016-08-23 17:29:18	109	114	12	5	2			"{""solution"":""Ip that starts with 98 exploited a buffer overflow in SMB server at IP address 192"",""project_id"":2,""session_id"":12,""feedback"":"""",""user_id"":5}"
102		"{""field"":""tcp_stream"",""aggregations"":[{""field"":""ip_src"",""type"":""min""},{""field"":""ip_dst"",""type"":""max""}],""groupPriority"":0}"	12		group	2016-08-23 17:29:58	109	117	12	5	2			"{""solution"":""Ip that starts with 98 exploited a buffer overflow in SMB server at IP address 192"",""project_id"":2,""session_id"":12,""feedback"":"""",""user_id"":5}"
104		"{""field"":""highest_layer"",""term"":""TCP"",""condition"":512}"	12		filter	2016-08-23 17:30:12	117	119	12	5	2			"{""solution"":""Ip that starts with 98 exploited a buffer overflow in SMB server at IP address 192"",""project_id"":2,""session_id"":12,""feedback"":"""",""user_id"":5}"
115		"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	17		group	2016-08-23 17:37:45	132	133	17	5	1			"{""solution"":""Attacker scans ip range, if ping replys he scans 444 and 139"",""project_id"":1,""session_id"":17,""feedback"":"""",""user_id"":5}"
116		"{""field"":""eth_src"",""aggregations"":[],""groupPriority"":0}"	17		group	2016-08-23 17:37:57	132	134	17	5	1			"{""solution"":""Attacker scans ip range, if ping replys he scans 444 and 139"",""project_id"":1,""session_id"":17,""feedback"":"""",""user_id"":5}"
117		"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":1}"	17		group	2016-08-23 17:38:03	134	135	17	5	1			"{""solution"":""Attacker scans ip range, if ping replys he scans 444 and 139"",""project_id"":1,""session_id"":17,""feedback"":"""",""user_id"":5}"
119		"{""field"":""info_line"",""term"":""Echo (ping) reply"",""condition"":16}"	17		filter	2016-08-23 17:40:36	132	137	17	5	1			"{""solution"":""Attacker scans ip range, if ping replys he scans 444 and 139"",""project_id"":1,""session_id"":17,""feedback"":"""",""user_id"":5}"
120		"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	17		group	2016-08-23 17:40:48	137	138	17	5	1			"{""solution"":""Attacker scans ip range, if ping replys he scans 444 and 139"",""project_id"":1,""session_id"":17,""feedback"":"""",""user_id"":5}"
121		"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":0}"	17		group	2016-08-23 17:41:25	132	139	17	5	1			"{""solution"":""Attacker scans ip range, if ping replys he scans 444 and 139"",""project_id"":1,""session_id"":17,""feedback"":"""",""user_id"":5}"
122		"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":512}"	17		filter	2016-08-23 17:41:42	132	140	17	5	1			"{""solution"":""Attacker scans ip range, if ping replys he scans 444 and 139"",""project_id"":1,""session_id"":17,""feedback"":"""",""user_id"":5}"
123		"{""field"":""tcp_dstport"",""aggregations"":[],""groupPriority"":0}"	17		group	2016-08-23 17:42:05	140	141	17	5	1			"{""solution"":""Attacker scans ip range, if ping replys he scans 444 and 139"",""project_id"":1,""session_id"":17,""feedback"":"""",""user_id"":5}"
124		"{""field"":""ip_dst"",""term"":""192.168.1.122"",""condition"":512}"	17		filter	2016-08-23 17:43:16	141	142	17	5	1			"{""solution"":""Attacker scans ip range, if ping replys he scans 444 and 139"",""project_id"":1,""session_id"":17,""feedback"":"""",""user_id"":5}"
125		"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":1}"	17		group	2016-08-23 17:43:50	142	143	17	5	1			"{""solution"":""Attacker scans ip range, if ping replys he scans 444 and 139"",""project_id"":1,""session_id"":17,""feedback"":"""",""user_id"":5}"
218		"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":8}"	23		filter	2016-08-27 15:53:21	241	242	23	8	1			"{""solution"":""The security attack in this capture is port scanning.nnThe scan conducted from the IP address 192.168.1.122, on the IP range 82.108.0.0/16 (with some randomization)nFirst, ping requests had been sent (over ICMP), and then for each IP that replied, the ports 139(NetBios) and 445(SMB) were scanned.nIn total, 205 TCP sessions were initiated during the scan. Apparently, more sessions were in port 139 than in port 445. nnUnfortunately for the attacker, no open ports in 139 or 445 came up in the scan, as all answers were RST, SYN. Yet, based on the scan results the attacker can spot active machines, to try further attack techniques."",""project_id"":1,""session_id"":23,""feedback"":""<3"",""user_id"":8}"
219		"{""field"":""ip_dst"",""direction"":""asc""}"	23		sort	2016-08-27 15:53:29	242	243	23	8	1			"{""solution"":""The security attack in this capture is port scanning.nnThe scan conducted from the IP address 192.168.1.122, on the IP range 82.108.0.0/16 (with some randomization)nFirst, ping requests had been sent (over ICMP), and then for each IP that replied, the ports 139(NetBios) and 445(SMB) were scanned.nIn total, 205 TCP sessions were initiated during the scan. Apparently, more sessions were in port 139 than in port 445. nnUnfortunately for the attacker, no open ports in 139 or 445 came up in the scan, as all answers were RST, SYN. Yet, based on the scan results the attacker can spot active machines, to try further attack techniques."",""project_id"":1,""session_id"":23,""feedback"":""<3"",""user_id"":8}"
220		"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":8}"	23		filter	2016-08-27 15:54:17	243	244	23	8	1			"{""solution"":""The security attack in this capture is port scanning.nnThe scan conducted from the IP address 192.168.1.122, on the IP range 82.108.0.0/16 (with some randomization)nFirst, ping requests had been sent (over ICMP), and then for each IP that replied, the ports 139(NetBios) and 445(SMB) were scanned.nIn total, 205 TCP sessions were initiated during the scan. Apparently, more sessions were in port 139 than in port 445. nnUnfortunately for the attacker, no open ports in 139 or 445 came up in the scan, as all answers were RST, SYN. Yet, based on the scan results the attacker can spot active machines, to try further attack techniques."",""project_id"":1,""session_id"":23,""feedback"":""<3"",""user_id"":8}"
221		"{""field"":""ip_dst"",""term"":""82.108.163.88"",""condition"":8}"	23		filter	2016-08-27 15:57:55	241	245	23	8	1			"{""solution"":""The security attack in this capture is port scanning.nnThe scan conducted from the IP address 192.168.1.122, on the IP range 82.108.0.0/16 (with some randomization)nFirst, ping requests had been sent (over ICMP), and then for each IP that replied, the ports 139(NetBios) and 445(SMB) were scanned.nIn total, 205 TCP sessions were initiated during the scan. Apparently, more sessions were in port 139 than in port 445. nnUnfortunately for the attacker, no open ports in 139 or 445 came up in the scan, as all answers were RST, SYN. Yet, based on the scan results the attacker can spot active machines, to try further attack techniques."",""project_id"":1,""session_id"":23,""feedback"":""<3"",""user_id"":8}"
223		"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":8}"	23		filter	2016-08-27 15:59:07	241	247	23	8	1			"{""solution"":""The security attack in this capture is port scanning.nnThe scan conducted from the IP address 192.168.1.122, on the IP range 82.108.0.0/16 (with some randomization)nFirst, ping requests had been sent (over ICMP), and then for each IP that replied, the ports 139(NetBios) and 445(SMB) were scanned.nIn total, 205 TCP sessions were initiated during the scan. Apparently, more sessions were in port 139 than in port 445. nnUnfortunately for the attacker, no open ports in 139 or 445 came up in the scan, as all answers were RST, SYN. Yet, based on the scan results the attacker can spot active machines, to try further attack techniques."",""project_id"":1,""session_id"":23,""feedback"":""<3"",""user_id"":8}"
224		"{""field"":""tcp_dstport"",""aggregations"":[{""field"":""ip_dst"",""type"":""count""}],""groupPriority"":0}"	23		group	2016-08-27 15:59:44	247	248	23	8	1			"{""solution"":""The security attack in this capture is port scanning.nnThe scan conducted from the IP address 192.168.1.122, on the IP range 82.108.0.0/16 (with some randomization)nFirst, ping requests had been sent (over ICMP), and then for each IP that replied, the ports 139(NetBios) and 445(SMB) were scanned.nIn total, 205 TCP sessions were initiated during the scan. Apparently, more sessions were in port 139 than in port 445. nnUnfortunately for the attacker, no open ports in 139 or 445 came up in the scan, as all answers were RST, SYN. Yet, based on the scan results the attacker can spot active machines, to try further attack techniques."",""project_id"":1,""session_id"":23,""feedback"":""<3"",""user_id"":8}"
225		"{""field"":""ip_dst"",""direction"":""asc""}"	23		sort	2016-08-27 16:01:37	248	249	23	8	1			"{""solution"":""The security attack in this capture is port scanning.nnThe scan conducted from the IP address 192.168.1.122, on the IP range 82.108.0.0/16 (with some randomization)nFirst, ping requests had been sent (over ICMP), and then for each IP that replied, the ports 139(NetBios) and 445(SMB) were scanned.nIn total, 205 TCP sessions were initiated during the scan. Apparently, more sessions were in port 139 than in port 445. nnUnfortunately for the attacker, no open ports in 139 or 445 came up in the scan, as all answers were RST, SYN. Yet, based on the scan results the attacker can spot active machines, to try further attack techniques."",""project_id"":1,""session_id"":23,""feedback"":""<3"",""user_id"":8}"
226		"{""field"":""info_line"",""term"":""SYN"",""condition"":16}"	23		filter	2016-08-27 16:02:53	241	250	23	8	1			"{""solution"":""The security attack in this capture is port scanning.nnThe scan conducted from the IP address 192.168.1.122, on the IP range 82.108.0.0/16 (with some randomization)nFirst, ping requests had been sent (over ICMP), and then for each IP that replied, the ports 139(NetBios) and 445(SMB) were scanned.nIn total, 205 TCP sessions were initiated during the scan. Apparently, more sessions were in port 139 than in port 445. nnUnfortunately for the attacker, no open ports in 139 or 445 came up in the scan, as all answers were RST, SYN. Yet, based on the scan results the attacker can spot active machines, to try further attack techniques."",""project_id"":1,""session_id"":23,""feedback"":""<3"",""user_id"":8}"
227		"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":512}"	23		filter	2016-08-27 16:03:09	250	251	23	8	1			"{""solution"":""The security attack in this capture is port scanning.nnThe scan conducted from the IP address 192.168.1.122, on the IP range 82.108.0.0/16 (with some randomization)nFirst, ping requests had been sent (over ICMP), and then for each IP that replied, the ports 139(NetBios) and 445(SMB) were scanned.nIn total, 205 TCP sessions were initiated during the scan. Apparently, more sessions were in port 139 than in port 445. nnUnfortunately for the attacker, no open ports in 139 or 445 came up in the scan, as all answers were RST, SYN. Yet, based on the scan results the attacker can spot active machines, to try further attack techniques."",""project_id"":1,""session_id"":23,""feedback"":""<3"",""user_id"":8}"
228		"{""field"":""tcp_stream"",""term"":""0"",""condition"":32}"	23		filter	2016-08-27 16:05:21	241	252	23	8	1			"{""solution"":""The security attack in this capture is port scanning.nnThe scan conducted from the IP address 192.168.1.122, on the IP range 82.108.0.0/16 (with some randomization)nFirst, ping requests had been sent (over ICMP), and then for each IP that replied, the ports 139(NetBios) and 445(SMB) were scanned.nIn total, 205 TCP sessions were initiated during the scan. Apparently, more sessions were in port 139 than in port 445. nnUnfortunately for the attacker, no open ports in 139 or 445 came up in the scan, as all answers were RST, SYN. Yet, based on the scan results the attacker can spot active machines, to try further attack techniques."",""project_id"":1,""session_id"":23,""feedback"":""<3"",""user_id"":8}"
229		"{""field"":""tcp_dstport"",""aggregations"":[{""field"":""tcp_stream"",""type"":""count""}],""groupPriority"":0}"	23		group	2016-08-27 16:06:05	252	253	23	8	1			"{""solution"":""The security attack in this capture is port scanning.nnThe scan conducted from the IP address 192.168.1.122, on the IP range 82.108.0.0/16 (with some randomization)nFirst, ping requests had been sent (over ICMP), and then for each IP that replied, the ports 139(NetBios) and 445(SMB) were scanned.nIn total, 205 TCP sessions were initiated during the scan. Apparently, more sessions were in port 139 than in port 445. nnUnfortunately for the attacker, no open ports in 139 or 445 came up in the scan, as all answers were RST, SYN. Yet, based on the scan results the attacker can spot active machines, to try further attack techniques."",""project_id"":1,""session_id"":23,""feedback"":""<3"",""user_id"":8}"
231		"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":8}"	23		filter	2016-08-27 16:06:45	253	255	23	8	1			"{""solution"":""The security attack in this capture is port scanning.nnThe scan conducted from the IP address 192.168.1.122, on the IP range 82.108.0.0/16 (with some randomization)nFirst, ping requests had been sent (over ICMP), and then for each IP that replied, the ports 139(NetBios) and 445(SMB) were scanned.nIn total, 205 TCP sessions were initiated during the scan. Apparently, more sessions were in port 139 than in port 445. nnUnfortunately for the attacker, no open ports in 139 or 445 came up in the scan, as all answers were RST, SYN. Yet, based on the scan results the attacker can spot active machines, to try further attack techniques."",""project_id"":1,""session_id"":23,""feedback"":""<3"",""user_id"":8}"
324		"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":512}"	33		filter	2016-08-27 20:56:30	356	357	33	11	1			"{""solution"":""Describe the network"",""project_id"":1,""session_id"":49,""feedback"":"""",""user_id"":7}"
328		"{""field"":""ip_dst"",""term"":""192.168.1.1"",""condition"":8}"	33		filter	2016-08-27 20:57:10	356	361	33	11	1			"{""solution"":""Describe the network"",""project_id"":1,""session_id"":49,""feedback"":"""",""user_id"":7}"
329		"{""field"":""ip_dst"",""term"":""192.168.1.122"",""condition"":8}"	33		filter	2016-08-27 20:57:46	356	362	33	11	1			"{""solution"":""Describe the network"",""project_id"":1,""session_id"":49,""feedback"":"""",""user_id"":7}"
330		"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":8}"	33		filter	2016-08-27 20:57:54	362	363	33	11	1			"{""solution"":""Describe the network"",""project_id"":1,""session_id"":49,""feedback"":"""",""user_id"":7}"
331		"{""field"":""info_line"",""term"":""Echo (ping) reply"",""condition"":16}"	33		filter	2016-08-27 20:58:02	363	364	33	11	1			"{""solution"":""Describe the network"",""project_id"":1,""session_id"":49,""feedback"":"""",""user_id"":7}"
332		"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	33		group	2016-08-27 20:58:10	364	365	33	11	1			"{""solution"":""Describe the network"",""project_id"":1,""session_id"":49,""feedback"":"""",""user_id"":7}"
333		"{""field"":""highest_layer"",""term"":""TCP"",""condition"":8}"	33		filter	2016-08-27 20:58:28	362	366	33	11	1			"{""solution"":""Describe the network"",""project_id"":1,""session_id"":49,""feedback"":"""",""user_id"":7}"
334		"{""field"":""info_line"",""term"":""SYN"",""condition"":16}"	33		filter	2016-08-27 20:58:40	366	367	33	11	1			"{""solution"":""Describe the network"",""project_id"":1,""session_id"":49,""feedback"":"""",""user_id"":7}"
335		"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":512}"	33		filter	2016-08-27 20:59:12	356	368	33	11	1			"{""solution"":""Describe the network"",""project_id"":1,""session_id"":49,""feedback"":"""",""user_id"":7}"
443		"{""field"":""ip_src"",""aggregations"":[{""field"":""info_line"",""type"":""count""}],""groupPriority"":0}"	49		group	2016-08-31 17:22:57	493	495	49	7	1			"{""solution"":""The attacker (192.168.1.122) is conducting an ICMP scan, followed by a TCP port scan to the IP's that answer the first scan."",""project_id"":1,""session_id"":49,""feedback"":"""",""user_id"":7}"
444		"{""field"":""ip_dst"",""aggregations"":[{""field"":""ip_src"",""type"":""min""}],""groupPriority"":0}"	49		group	2016-08-31 17:23:22	493	496	49	7	1			"{""solution"":""The attacker (192.168.1.122) is conducting an ICMP scan, followed by a TCP port scan to the IP's that answer the first scan."",""project_id"":1,""session_id"":49,""feedback"":"""",""user_id"":7}"
451		"{""field"":""ip_src"",""direction"":""asc""}"	55		sort	2016-09-01 21:06:12	508	509	55	21	1			"{""solution"":""A simple ICMP Ping -> TCP scanningn192.168.1.112 through the router send an ICMP ping request to a (class C?) subnet.nUpon a response a simple 139, 445 port scanning started.nnThe attack were successful as some open ports were foundnnNot sure but at first the attacker connected to his router perhaps for packet sniffing of some sort the capture the result better. (Could be just a test...)"",""project_id"":1,""session_id"":55,""feedback"":"""",""user_id"":21}"
452		"{""field"":""ip_src"",""term"":""192.168.1.122"",""condition"":16}"	55		filter	2016-09-01 21:06:38	509	510	55	21	1			"{""solution"":""A simple ICMP Ping -> TCP scanningn192.168.1.112 through the router send an ICMP ping request to a (class C?) subnet.nUpon a response a simple 139, 445 port scanning started.nnThe attack were successful as some open ports were foundnnNot sure but at first the attacker connected to his router perhaps for packet sniffing of some sort the capture the result better. (Could be just a test...)"",""project_id"":1,""session_id"":55,""feedback"":"""",""user_id"":21}"
454		"{""field"":""ip_src"",""visible"":false}"	55		project	2016-09-01 21:08:01	509	513	55	21	1			"{""solution"":""A simple ICMP Ping -> TCP scanningn192.168.1.112 through the router send an ICMP ping request to a (class C?) subnet.nUpon a response a simple 139, 445 port scanning started.nnThe attack were successful as some open ports were foundnnNot sure but at first the attacker connected to his router perhaps for packet sniffing of some sort the capture the result better. (Could be just a test...)"",""project_id"":1,""session_id"":55,""feedback"":"""",""user_id"":21}"
455		"{""field"":""ip_src"",""aggregations"":[{""field"":""highest_layer"",""type"":""count""}],""groupPriority"":0}"	55		group	2016-09-01 21:10:10	508	514	55	21	1			"{""solution"":""A simple ICMP Ping -> TCP scanningn192.168.1.112 through the router send an ICMP ping request to a (class C?) subnet.nUpon a response a simple 139, 445 port scanning started.nnThe attack were successful as some open ports were foundnnNot sure but at first the attacker connected to his router perhaps for packet sniffing of some sort the capture the result better. (Could be just a test...)"",""project_id"":1,""session_id"":55,""feedback"":"""",""user_id"":21}"
458		"{""field"":""ip_dst"",""term"":""192.168.1.122"",""condition"":16}"	55		filter	2016-09-01 21:26:58	508	517	55	21	1			"{""solution"":""A simple ICMP Ping -> TCP scanningn192.168.1.112 through the router send an ICMP ping request to a (class C?) subnet.nUpon a response a simple 139, 445 port scanning started.nnThe attack were successful as some open ports were foundnnNot sure but at first the attacker connected to his router perhaps for packet sniffing of some sort the capture the result better. (Could be just a test...)"",""project_id"":1,""session_id"":55,""feedback"":"""",""user_id"":21}"
